state,date,cum_cases,cum_deaths
Missouri,2020-03-27,1340,26
California,2020-03-28,5565,121
North Carolina,2020-03-28,1942,58
Virginia,2020-03-28,1478,30
Washington,2020-03-28,4311,191
Arkansas,2020-03-29,898,20
Georgia,2020-03-29,2683,83
Indiana,2020-03-29,1522,40
Missouri,2020-03-30,1049,13
Arizona,2020-03-31,1298,24
Connecticut,2020-03-31,3128,69
Georgia,2020-03-31,4116,125
Indiana,2020-03-31,2170,61
Iowa,2020-03-31,498,7
Minnesota,2020-03-31,1258,29
Nevada,2020-03-31,2226,32
Colorado,2020-04-01,3346,80
Maine,2020-04-01,344,7
Vermont,2020-04-01,321,16
Alaska,2020-04-02,146,2
Mississippi,2020-04-02,1177,26
Massachusetts,2020-04-03,10402,192
Utah,2020-04-03,1248,7
Indiana,2020-04-04,3975,136
Louisiana,2020-04-04,25000,643
North Dakota,2020-04-04,186,3
Washington,2020-04-04,7499,318
Missouri,2020-04-05,2367,52
California,2020-04-06,32568,968
Indiana,2020-04-06,4986,171
Maine,2020-04-07,1038,29
Missouri,2020-04-07,3037,79
New York,2020-04-08,151271,8138
Wisconsin,2020-04-08,2756,107
Illinois,2020-04-09,16422,534
Rhode Island,2020-04-09,1727,43
Idaho,2020-04-10,2850,58
Delaware,2020-04-11,1479,33
Hawaii,2020-04-12,994,17
Idaho,2020-04-12,1457,27
Oregon,2020-04-12,1527,52
Connecticut,2020-04-13,13381,602
Oklahoma,2020-04-13,2069,98
West Virginia,2020-04-14,697,10
New Mexico,2020-04-15,1484,36
Missouri,2020-04-16,5111,170
Massachusetts,2020-04-17,34402,1404
Colorado,2020-04-18,9433,409
Alabama,2020-04-19,4903,160
Indiana,2020-04-19,11300,652
Oregon,2020-04-19,1910,74
North Dakota,2020-04-20,1881,47
Colorado,2020-04-21,10447,484
Maryland,2020-04-21,14261,652
Nevada,2020-04-21,3937,163
Arizona,2020-04-22,5459,236
Nebraska,2020-04-22,1826,42
New Jersey,2020-04-22,95865,5063
Alaska,2020-04-23,335,7
Connecticut,2020-04-23,23100,1639
Indiana,2020-04-23,13184,811
Iowa,2020-04-23,3939,96
Kansas,2020-04-24,2841,117
Mississippi,2020-04-24,5434,209
New Hampshire,2020-04-24,1720,53
Wyoming,2020-04-24,946,14
Hawaii,2020-04-25,597,14
Delaware,2020-04-26,4034,120
Maryland,2020-04-26,18664,910
Oklahoma,2020-04-26,3253,195
Virginia,2020-04-26,12969,448
Colorado,2020-04-27,13804,705
Nebraska,2020-04-27,3487,54
Pennsylvania,2020-04-27,43728,1946
Ohio,2020-04-28,33538,1602
South Dakota,2020-04-28,2314,11
Idaho,2020-04-29,1984,60
Massachusetts,2020-04-29,60265,3405
Massachusetts,2020-04-30,62205,3562
South Dakota,2020-04-30,2450,17
Kansas,2020-05-01,4510,136
Maryland,2020-05-01,23566,1192
Ohio,2020-05-01,18743,1002
Wisconsin,2020-05-01,7314,327
Maryland,2020-05-02,24568,1251
Massachusetts,2020-05-02,66263,3846
Arkansas,2020-05-03,3431,76
Colorado,2020-05-03,16527,840
Maryland,2020-05-03,25561,1281
Minnesota,2020-05-03,6663,419
New Hampshire,2020-05-03,2518,86
Virginia,2020-05-03,18671,660
Rhode Island,2020-05-04,9652,341
Wyoming,2020-05-04,596,7
Arizona,2020-05-05,9305,395
Arkansas,2020-05-05,3525,83
California,2020-05-05,58848,2386
District of Columbia,2020-05-05,5322,264
Louisiana,2020-05-05,30069,2115
Minnesota,2020-05-05,7851,455
New York,2020-05-05,326659,25028
Alaska,2020-05-06,370,8
Arizona,2020-05-06,9707,426
Pennsylvania,2020-05-06,54989,3360
South Dakota,2020-05-06,2779,29
Arizona,2020-05-08,10526,517
Wisconsin,2020-05-08,9590,384
Nevada,2020-05-09,6046,306
Colorado,2020-05-10,19595,969
Tennessee,2020-05-10,15060,242
Delaware,2020-05-11,6565,225
Florida,2020-05-11,40974,1734
Rhode Island,2020-05-11,11450,430
South Carolina,2020-05-11,7792,346
Pennsylvania,2020-05-12,61407,3924
Tennessee,2020-05-13,16261,271
Massachusetts,2020-05-14,82182,5482
New York,2020-05-14,348192,27617
Michigan,2020-05-15,49982,4825
Wisconsin,2020-05-15,11854,445
Nevada,2020-05-16,6810,349
Massachusetts,2020-05-17,86010,5797
Nevada,2020-05-17,6935,350
New Hampshire,2020-05-17,3596,172
Washington,2020-05-17,19514,1016
Wisconsin,2020-05-17,12571,453
Colorado,2020-05-18,22174,1224
Maryland,2020-05-18,39882,2023
Oregon,2020-05-18,3687,138
Tennessee,2020-05-18,17767,296
Utah,2020-05-18,7384,80
Iowa,2020-05-19,15296,367
Arkansas,2020-05-20,5003,107
Delaware,2020-05-20,8194,310
Arizona,2020-05-21,15315,763
District of Columbia,2020-05-21,7788,412
New York,2020-05-21,361313,28663
Utah,2020-05-21,7876,92
Indiana,2020-05-22,31165,1941
Missouri,2020-05-22,11797,680
New York,2020-05-22,362991,28802
Florida,2020-05-23,50119,2232
Louisiana,2020-05-23,37165,2683
New Mexico,2020-05-23,6795,308
Delaware,2020-05-24,8809,326
New Hampshire,2020-05-24,4149,209
New Mexico,2020-05-24,6943,317
Ohio,2020-05-24,31911,1969
Utah,2020-05-24,8392,97
Vermont,2020-05-24,956,54
West Virginia,2020-05-24,1771,72
Colorado,2020-05-25,24256,1333
Maine,2020-05-25,2074,78
Utah,2020-05-25,8521,98
Illinois,2020-05-26,113486,4960
Texas,2020-05-26,57573,1552
Kentucky,2020-05-27,9313,420
Louisiana,2020-05-27,38694,2722
Pennsylvania,2020-05-27,73646,5290
Indiana,2020-05-28,33885,2068
Kansas,2020-05-28,9512,209
New Jersey,2020-05-28,157815,11401
Pennsylvania,2020-05-28,74312,5397
Wisconsin,2020-05-28,17211,550
Colorado,2020-05-29,25602,1437
Oregon,2020-05-29,4131,151
Texas,2020-05-29,62073,1645
Washington,2020-05-30,22618,1126
Wyoming,2020-05-30,898,16
Colorado,2020-05-31,26364,1445
Idaho,2020-05-31,2855,82
North Carolina,2020-05-31,28686,911
